name,company,year,Price,kms_driven,fuel_type
Suzuki Wagon,Maruti,2007,120000,7000,Petrol
Suzuki Zen,Maruti,2003,99999,53000,Petrol
Suzuki Zen,Maruti,2008,135000,23000,Petrol
Suzuki Alto,Maruti,2010,99000,22134,Petrol
Eon Magna,Hyundai,2014,190000,35000,Petrol
Motors Ambassador,Hindustan,2002,90000,25000,Diesel
Suzuki Ritz,Maruti,2010,149000,40000,Petrol
Eon D,Hyundai,2016,120000,87000,Petrol
Suzuki Estilo,Maruti,2013,180000,65000,Petrol
Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
Suzuki Alto,Maruti,2015,90000,55800,Petrol
Suzuki Ritz,Maruti,2010,180000,72160,Diesel
Suzuki Wagon,Maruti,2006,90001,48000,Petrol
Suzuki Estilo,Maruti,2007,115000,36000,Petrol
Suzuki Wagon,Maruti,2003,130000,133000,Petrol
Suzuki Wagon,Maruti,2009,159000,27000,Petrol
Suzuki Wagon,Maruti,2009,160000,35000,Petrol
Suzuki Alto,Maruti,2010,110000,55000,Petrol
Suzuki Swift,Maruti,2009,150000,45000,Petrol
Getz Prime,Hyundai,2009,110000,20000,Petrol
Getz Prime,Hyundai,2009,115000,20000,Petrol
Suzuki Swift,Maruti,2011,140000,65000,Diesel
Suzuki Alto,Maruti,2014,199000,37000,Petrol
Accent GLE,Hyundai,2006,90000,55000,Petrol
Spark 1.0,Chevrolet,2011,100000,27000,Petrol
Etios Liva,Toyota,2014,160000,24652,Petrol
Suzuki Omni,Maruti,2012,160000,14000,Petrol
Zest Quadrajet,Tata,2017,180000,90000,Diesel
Indigo CS,Tata,2016,150000,104000,Diesel
i10 Era,Hyundai,2011,175000,30000,Petrol
Indigo eCS,Tata,2014,95000,195000,Diesel
Indigo Marina,Tata,2004,180000,70000,Diesel
Eon Magna,Hyundai,2013,185000,23000,Petrol
Suzuki Alto,Maruti,2009,90000,62000,Petrol
Suzuki Swift,Maruti,2006,189700,48247,Petrol
i10 Magna,Hyundai,2009,170000,75000,Petrol
Corolla Altis,Toyota,2010,185000,55000,Petrol
Manza Aqua,Tata,2014,160000,200000,Diesel
Venture EX,Tata,2013,100000,30000,Diesel
Octavia Classic,Skoda,2006,114990,65000,Diesel
Beat Diesel,Chevrolet,2011,125000,56000,Diesel
Suzuki Zen,Maruti,2002,95000,10544,Petrol
Beat LT,Chevrolet,2012,130000,90001,Diesel
Suzuki Swift,Maruti,2010,190000,74000,Diesel
Santro Xing,Hyundai,2014,179000,57000,Petrol
Eon Era,Hyundai,2013,190000,39700,Petrol
Suzuki Zen,Maruti,2008,125000,46000,Petrol
Eon Era,Hyundai,2012,188000,38000,Petrol
Beat Diesel,Chevrolet,2016,179999,19336,Diesel
Indica eV2,Tata,2015,140000,60105,Diesel
City 1.5,Honda,2005,120000,68000,Petrol
Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
Suzuki Omni,Maruti,2009,85000,45000,Petrol
Beat LT,Chevrolet,2012,135000,36000,Petrol
Scorpio SLX,Mahindra,2004,175000,60000,Diesel
Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
City ZX,Honda,2006,180000,50000,Petrol
Suzuki Wagon,Maruti,2008,140000,68000,Petrol
Suzuki Omni,Maruti,2009,85000,56000,Petrol
Suzuki Zen,Maruti,2004,70000,100000,Petrol
Indigo CS,Tata,2016,110000,85000,Diesel
Suzuki Wagon,Maruti,2014,130000,37458,Petrol
Santro AE,Hyundai,2011,165000,45000,Petrol
Getz GLE,Hyundai,2007,99000,55000,Petrol
Santro Xing,Hyundai,2007,115000,46000,Petrol
Santro Xing,Hyundai,2009,88000,43200,Petrol
Santro Xing,Hyundai,2007,135000,42000,Petrol
Indica V2,Tata,2009,90000,30600,Diesel
Santro Xing,Hyundai,2007,135000,47000,Petrol
City 1.5,Honda,2005,95000,41000,Petrol
City 1.5,Honda,2005,115000,68000,Petrol
Indica eV2,Tata,2012,85000,55000,Diesel
Suzuki Omni,Maruti,2013,165000,25000,Petrol
Eon Era,Hyundai,2014,200000,28400,Petrol
Eon,Hyundai,2014,200000,28000,Petrol
Tavera LS,Chevrolet,2005,130000,68485,Diesel
Suzuki Zen,Maruti,2006,71000,32000,Petrol
Fusion 1.4,Ford,2007,125000,85455,Diesel
Santro Xing,Hyundai,2007,135000,46000,Petrol
Linea Emotion,Fiat,2009,120000,64000,Petrol
Ikon 1.3,Ford,2008,95000,46000,Petrol
Indica V2,Tata,2012,115000,64000,Diesel
Corolla,Toyota,2006,160000,40000,Petrol
Sumo Grande,Tata,2010,130000,90000,Diesel
Suzuki Swift,Maruti,2009,120000,90000,Diesel
Indigo eCS,Tata,2016,130000,150000,Diesel
Beat LS,Chevrolet,2014,189000,31000,Diesel
Eon D,Hyundai,2013,170000,20000,Petrol
Suzuki Alto,Maruti,2005,70000,47000,Petrol
Suzuki Alto,Maruti,2005,100000,40000,Petrol
Suzuki Ritz,Maruti,2010,150000,38000,Diesel
Suzuki Swift,Maruti,2008,162000,60000,Diesel
Santro Xing,Hyundai,2006,85000,60000,Petrol
Suzuki Swift,Maruti,2008,175000,58000,Diesel
Logan,Mahindra,2009,130000,65000,Diesel
Suzuki Wagon,Maruti,2006,100000,7000,Petrol
Manza,Tata,2015,100000,100000,Diesel
Qualis,Toyota,2003,180000,100000,Diesel
Indigo eCS,Tata,2016,160000,104000,Diesel
Getz,Hyundai,2006,125000,80000,Petrol
Suzuki Alto,Maruti,2005,95000,65000,Petrol
Fabia,Skoda,2009,110000,45000,Petrol
Indica V2,Tata,2009,110000,30000,Diesel
